family,stab_prob,selected
Peptostreptococcaceae,0.96,True
Planococcaceae,0.86,True
Pasteurellaceae,0.84,True
Bifidobacteriaceae,0.68,True
[Paraprevotellaceae],0.5,False
Coriobacteriaceae,0.44,False
Corynebacteriaceae,0.42,False
[Barnesiellaceae],0.42,False
f__unknown_4428714,0.42,False
Rikenellaceae,0.36,False
f__unknown_4402903,0.36,False
Enterobacteriaceae,0.34,False
Lactobacillaceae,0.28,False
[Tissierellaceae],0.24,False
Streptococcaceae,0.16,False
Bacteroidaceae,0.14,False
Prevotellaceae,0.14,False
Pseudomonadaceae,0.14,False
Actinomycetaceae,0.14,False
Christensenellaceae,0.14,False
[Odoribacteraceae],0.12,False
Verrucomicrobiaceae,0.12,False
f__unknown_4420570,0.1,False
f__unknown_325850,0.08,False
Carnobacteriaceae,0.08,False
Comamonadaceae,0.06,False
Micrococcaceae,0.06,False
f__unknown_290455,0.06,False
S24-7,0.06,False
Erysipelotrichaceae,0.06,False
Ruminococcaceae,0.04,False
HTCC2089,0.04,False
Neisseriaceae,0.04,False
Desulfovibrionaceae,0.04,False
Porphyromonadaceae,0.02,False
Veillonellaceae,0.02,False
Clostridiaceae,0.02,False
Alcaligenaceae,0.02,False
Lachnospiraceae,0.0,False
Fusobacteriaceae,0.0,False
