index,lambda,D_b
0,0.900336610313242,0.0012692307692307695
1,0.706548131615755,0.023064102564102563
2,0.55447069081866,0.06667948717948718
3,0.435126402887606,0.10652564102564104
4,0.341469783029216,0.15052564102564103
5,0.267971816805927,0.18833333333333335
6,0.210293555011647,0.21611538461538465
7,0.165029963996043,0.23892307692307693
8,0.129508909652638,0.26692307692307693
9,0.101633408099254,0.3096282051282051
10,0.0797578303266884,0.36052564102564105
11,0.0625907525624689,0.4156666666666667
12,0.0491187171251987,0.4666282051282052
13,0.0385464029948728,0.5050641025641025
14,0.0302496740714118,0.5288461538461539
15,0.0237387333274225,0.5233974358974359
16,0.0186292076622093,0.5134358974358975
17,0.0146194564526666,0.48244871794871796
18,0.0114727642123491,0.43696153846153846
19,0.0090033661031324,0.3847564102564103
