,T_obs,p_true,p_perm,q_perm_BH,q_perm_Lee
f__Acholeplasmataceae;,-0.0502236556244594,0.9599672665877861,0.9440559440559441,0.995004995004995,1.0
f__Acidaminococcaceae;,-1.567062481776298,0.11782888592355983,0.11288711288711288,0.43004614433185856,1.0
f__Akkermansiaceae;,1.5752337443126319,0.11593113792067203,0.1048951048951049,0.43004614433185856,1.0
f__Anaerovoracaceae;,0.008463284295993998,0.9932512455723136,0.995004995004995,0.995004995004995,1.0
f__Atopobiaceae;,-1.643349457486504,0.10103486758553948,0.11288711288711288,0.43004614433185856,1.0
f__Bacteroidaceae;,0.19403265853024335,0.8462410944387212,0.8291708291708292,0.995004995004995,1.0
f__Barnesiellaceae;,-0.02901221266089199,0.9768681864828666,0.9760239760239761,0.995004995004995,1.0
f__Bifidobacteriaceae;,-1.214776499723963,0.22511184495515602,0.23376623376623376,0.642024642024642,1.0
f__Butyricicoccaceae;,-0.6310779591696625,0.5283217548398291,0.4805194805194805,0.8108558108558109,1.0
f__Carnobacteriaceae;,-0.49992581781837553,0.617380681873402,0.45854145854145856,0.7974634061590584,1.0
f__Christensenellaceae;,2.81842113509344,0.005046698698640336,0.01098901098901099,0.14652014652014653,0.357
f__Clostridia_UCG-014;,0.05247145232910409,0.9581771843253679,0.954045954045954,0.995004995004995,1.0
f__Clostridia_vadinBB60_group;,3.236743088569534,0.0013016669327783532,0.003996003996003996,0.13320013320013321,0.141
f__Clostridiaceae;,0.45414602441170643,0.6499507611220375,0.6513486513486514,0.9474162201434929,1.0
f__Coriobacteriaceae;,-0.9615096682180712,0.3368313510023415,0.33266733266733267,0.7974634061590584,1.0
f__Coriobacteriales_Incertae_Sedis;,-0.1886137480782552,0.8504837208747034,0.8301698301698301,0.995004995004995,1.0
f__DTU014;,1.381026191778343,0.16798158898518195,0.1048951048951049,0.43004614433185856,1.0
f__Defluviitaleaceae;,0.2730149999897831,0.7849715465165228,0.7822177822177823,0.995004995004995,1.0
f__Desulfovibrionaceae;,-0.279211118399937,0.7802158152340417,0.7732267732267732,0.995004995004995,1.0
f__Eggerthellaceae;,-0.9862997076409297,0.32453559574430657,0.3546453546453546,0.7974634061590584,1.0
f__Enterobacteriaceae;,-0.8044938266654077,0.42155229723120013,0.4255744255744256,0.7974634061590584,1.0
f__Enterococcaceae;,-0.07883561317893303,0.9371997122074089,0.9230769230769231,0.995004995004995,1.0
f__Erysipelatoclostridiaceae;,-2.5595144689959923,0.01081974438128373,0.01098901098901099,0.14652014652014653,0.559
f__Erysipelotrichaceae;,-2.575682654226534,0.01033410872779603,0.013986013986013986,0.15984015984015984,0.559
f__Flavobacteriaceae;,0.36839315076248275,0.7127597264396661,0.6803196803196803,0.9718852575995433,1.0
f__Gastranaerophilales;,0.31444779157382385,0.7533320690936438,0.7652347652347652,0.995004995004995,1.0
f__Hungateiclostridiaceae;,0.23003216073018903,0.8181751596515002,0.7982017982017982,0.995004995004995,1.0
f__Izemoplasmatales;,3.7040175189550903,0.000239602911213228,0.000999000999000999,0.07992007992007992,0.073
f__Lachnospiraceae;,-1.2400247674491705,0.21563625217156063,0.1928071928071928,0.6038406038406038,1.0
f__Lactobacillaceae;,-1.6078337942013095,0.10859878729972139,0.10789210789210789,0.43004614433185856,1.0
f__Marinifilaceae;,0.8431203259826298,0.39962557413523614,0.4565434565434565,0.7974634061590584,1.0
f__Methanobacteriaceae;,-0.6881620733744676,0.4917183703386222,0.5194805194805194,0.8311688311688311,1.0
f__Monoglobaceae;,0.07264069829546982,0.9421255041846738,0.9330669330669331,0.995004995004995,1.0
f__Muribaculaceae;,0.9471827998206022,0.34407271207391044,0.37662337662337664,0.7974634061590584,1.0
f__Oscillospiraceae;,2.4772327943827963,0.013620377933253386,0.03396603396603397,0.24546881689738836,0.657
f__Oscillospirales;,1.0238318030069016,0.30648505219920713,0.1998001998001998,0.6038406038406038,1.0
f__Oxalobacteraceae;,-0.10238878108291775,0.9184953782487753,0.8831168831168831,0.995004995004995,1.0
f__Pasteurellaceae;,1.2458671295378043,0.2134853095548805,0.18181818181818182,0.6038406038406038,1.0
f__Peptococcaceae;,0.31564054914892875,0.7524270820035861,0.7382617382617382,0.995004995004995,1.0
f__Peptostreptococcaceae;,0.21831532816632876,0.8272860485907645,0.8391608391608392,0.995004995004995,1.0
f__Prevotellaceae;,0.48183841667430677,0.6301636180355435,0.6323676323676324,0.9474162201434929,1.0
f__Puniceicoccaceae;,1.7538685109223255,0.08015886470781328,0.1028971028971029,0.43004614433185856,0.998
f__RF39;,1.9820787696428148,0.048100765307613105,0.07492507492507493,0.3996003996003996,0.972
f__Rikenellaceae;,0.042127250022651185,0.9664166307702446,0.975024975024975,0.995004995004995,1.0
f__Ruminococcaceae;,0.3526851342102761,0.7244957213686065,0.7012987012987013,0.9842788790157211,1.0
f__Saccharimonadaceae;,-0.872570276402376,0.38337983523556995,0.16983016983016982,0.590713634191895,1.0
f__Selenomonadaceae;,-1.0669749659734915,0.2865763013008555,0.3166833166833167,0.7974634061590584,1.0
f__Streptococcaceae;,0.7631165507726154,0.44580848613349267,0.45054945054945056,0.7974634061590584,1.0
f__Succinivibrionaceae;,-2.0293516247801313,0.0430322263744594,0.04295704295704296,0.24546881689738836,0.964
f__Sutterellaceae;,-2.3096514073802146,0.02137601385900525,0.024975024975024976,0.1998001998001998,0.808
f__Tannerellaceae;,-2.28080272479309,0.02304402925852385,0.023976023976023976,0.1998001998001998,0.836
f__UCG-010;,3.159283696368405,0.001692151847115755,0.006993006993006993,0.13986013986013984,0.141
f__Veillonellaceae;,-0.8285198324241397,0.4078315638022455,0.3926073926073926,0.7974634061590584,1.0
f__Victivallaceae;,0.357913682861192,0.7205819154599791,0.7422577422577422,0.995004995004995,1.0
f__[Clostridium]_methylpentosum_group;,-2.2772053751120773,0.023259780475527347,0.017982017982017984,0.17982017982017984,0.836
f__[Eubacterium]_coprostanoligenes_group;,0.5931862071235272,0.553365528374574,0.5784215784215784,0.8898793514178128,1.0
f__unknown_10;,0.9963898696867646,0.3196159536526593,0.23876123876123875,0.642024642024642,1.0
f__unknown_12;,-0.6656636436701675,0.505979740250577,0.4865134865134865,0.8108558108558109,1.0
f__unknown_13;,-0.6830691952929033,0.49492758637483036,0.4485514485514486,0.7974634061590584,1.0
f__unknown_14;,-0.8746504655548712,0.3822478753959442,0.24075924075924077,0.642024642024642,1.0
f__unknown_15;,-0.4628816599207417,0.6436811982961614,0.5534465534465535,0.8681514563867506,1.0
f__unknown_16;,-1.2242438612155095,0.22152439051811207,0.13986013986013987,0.5085823267641449,1.0
f__unknown_17;,0.8735664631315123,0.38283749148082347,0.3596403596403596,0.7974634061590584,1.0
f__unknown_27;,-0.08020118845798942,0.9361142135498726,0.913086913086913,0.995004995004995,1.0
f__unknown_28;,-0.48702054664435024,0.626489645977288,0.45354645354645357,0.7974634061590584,1.0
f__unknown_2;,0.012559581043778321,0.9899849389567044,0.993006993006993,0.995004995004995,1.0
f__unknown_31;,0.024772257177750757,0.9802480056312945,0.981018981018981,0.995004995004995,1.0
f__unknown_37;,-2.1771918450913756,0.030004370957611284,0.004995004995004995,0.13320013320013321,0.891
f__unknown_3;,1.2877225991140733,0.19852875941674122,0.2037962037962038,0.6038406038406038,1.0
f__unknown_41;,0.1468115253944916,0.8833489589938309,0.8231768231768232,0.995004995004995,1.0
f__unknown_49;,-0.5882033093177822,0.5567017925554968,0.3256743256743257,0.7974634061590584,1.0
f__unknown_4;,-0.7323491507436088,0.4643507935040352,0.4275724275724276,0.7974634061590584,1.0
f__unknown_5;,0.9417460333536191,0.3468465768085962,0.3906093906093906,0.7974634061590584,1.0
f__unknown_6;,-0.9387528993121299,0.34837976780680124,0.3646353646353646,0.7974634061590584,1.0
f__unknown_70;,-1.207163441741193,0.22802671110350756,0.04195804195804196,0.24546881689738836,1.0
f__unknown_7;,-1.8935693489980199,0.058947024265188726,0.04295704295704296,0.24546881689738836,0.989
f__unknown_89;,-0.27052436409028524,0.7868854772613307,0.6473526473526473,0.9474162201434929,1.0
f__unknown_8;,-0.029259231537455847,0.9766712912168505,0.968031968031968,0.995004995004995,1.0
f__unknown_9;,0.5986009526095445,0.5497513057410822,0.5154845154845155,0.8311688311688311,1.0
f__vadinBE97;,-0.010846078922608544,0.9913512345796256,0.995004995004995,0.995004995004995,1.0
