,T_obs,p_true,p_perm,q_perm_BH,q_perm_Lee
g__Acidaminococcus;,-2.401907541590218,0.01672922847353555,0.014985014985014986,0.31626268468373736,0.999
g__Adlercreutzia;,-0.0563035839883498,0.9551258749159799,0.9590409590409591,0.9760797578056463,1.0
g__Agathobacter;,0.8472754432756564,0.39730859405090413,0.3836163836163836,0.8407198182982936,1.0
g__Akkermansia;,1.6639385617652849,0.09684652608133923,0.08391608391608392,0.5870853284646388,1.0
g__Alistipes;,1.5122536063253813,0.13119716119845384,0.16483516483516483,0.7107408720311946,1.0
g__Allisonella;,-1.2040951667027886,0.22920907986304365,0.23676323676323677,0.7846451069591565,1.0
g__Alloprevotella;,0.5080342541685378,0.6116874260479214,0.6153846153846154,0.8924385223317608,1.0
g__Anaeroplasma;,0.2743349040152403,0.783957793268402,0.7742257742257742,0.9240015936444508,1.0
g__Anaerostipes;,-0.9853571360307676,0.3249976768952725,0.32867132867132864,0.8337475024975025,1.0
g__Anaerotruncus;,1.2526728505390243,0.21099933577808286,0.15884115884115885,0.7107408720311946,1.0
g__Angelakisella;,1.3205460096304455,0.1873487263545225,0.14485514485514486,0.701048951048951,1.0
g__Asteroleplasma;,-0.9765671973431979,0.32932748003527734,0.33966033966033965,0.8405214417484356,1.0
g__Bacteroides;,0.50089679573521,0.616697693206269,0.6133866133866134,0.8924385223317608,1.0
g__Barnesiella;,-0.09940989377083805,0.9208587281981155,0.922077922077922,0.9603980435149265,1.0
g__Bifidobacterium;,-1.0358424786601974,0.3008524409746422,0.2937062937062937,0.8222829801777171,1.0
g__Bilophila;,-0.20530675178054703,0.8374287283854971,0.8201798201798202,0.9332399444131287,1.0
g__Blautia;,-2.092597420575284,0.03696534763638582,0.04495504495504495,0.462230077614693,1.0
g__Butyricicoccus;,-0.4211271972028684,0.6738706770097831,0.6573426573426573,0.9074802748272136,1.0
g__Butyricimonas;,0.27671915296290467,0.7821275024793517,0.7892107892107892,0.9280748576936261,1.0
g__Butyrivibrio;,0.2151564983749312,0.8297463743944588,0.8141858141858141,0.9332399444131287,1.0
g__CAG-352;,1.0780851080828506,0.28159461298944477,0.2707292707292707,0.8212287712287712,1.0
g__CAG-56;,0.8217408471932731,0.41167559790605,0.45554445554445555,0.8407198182982936,1.0
g__CAG-873;,-0.3713389008801126,0.7105663358704323,0.7232767232767233,0.9128810583356037,1.0
g__CHKCI002;,-0.038252331642651925,0.9695040857343502,0.9660339660339661,0.978231364595001,1.0
g__Candidatus_Soleaferrea;,0.18563540015312263,0.8528174175752368,0.8401598401598401,0.9343620368551117,1.0
g__Caproiciproducens;,-0.3414093871695338,0.7329606433696279,0.7322677322677322,0.9128810583356037,1.0
g__Catenibacterium;,-2.0801896929984416,0.03809431921511272,0.03296703296703297,0.40059940059940063,1.0
g__Christensenella;,-0.27603697647062153,0.7826510584567874,0.7432567432567433,0.9128810583356037,1.0
g__Christensenellaceae_R-7_group;,2.7527539537317325,0.0061574960498765475,0.008991008991008992,0.24035964035964036,0.922
g__Clostridia_UCG-014;,0.17813125757316808,0.8587030093763877,0.8601398601398601,0.9358175699639115,1.0
g__Clostridia_vadinBB60_group;,3.217895358124117,0.0013881346134753108,0.002997002997002997,0.13353313353313354,0.511
g__Clostridium_sensu_stricto_1;,0.5951150867625468,0.552076705161265,0.5644355644355644,0.8841353958541458,1.0
g__Colidextribacter;,0.5676559195226171,0.5705621542550526,0.6083916083916084,0.8924385223317608,1.0
g__Collinsella;,-0.5917319764849029,0.5543381816230497,0.5394605394605395,0.879093129093129,1.0
g__Coprobacillus;,0.3224480065330905,0.7472685933158372,0.7052947052947053,0.9128810583356037,1.0
g__Coprobacter;,-0.6220259471936126,0.5342514367750693,0.5204795204795205,0.8763111888111887,1.0
g__Coprococcus;,0.9028356608574927,0.36711392924500064,0.4175824175824176,0.8407198182982936,1.0
g__Coriobacteriaceae_UCG-002;,0.14077032105235848,0.8881167019447803,0.8871128871128872,0.9488999064595882,1.0
g__DTU014;,2.261970903365039,0.02419309079002957,0.02097902097902098,0.3235610543302851,1.0
g__DTU089;,-0.7717795622714245,0.4406650207899784,0.4645354645354645,0.8407198182982936,1.0
g__Defluviitaleaceae_UCG-011;,0.5045820512510156,0.6141085053119695,0.6313686313686314,0.896040355404313,1.0
