,T_obs,p_true,p_perm,q_perm_BH,q_perm_Lee
s__Absiella_argi;,-0.935203027610235,0.3502037335867214,0.34165834165834164,0.8378156852124535,1.0
s__Absiella_dolichum;,-0.7220309774901698,0.4706642712225768,0.47952047952047955,0.9036435786435786,1.0
s__Acidaminococcus_fermentans;,-0.944380241545004,0.345500811814456,0.3866133866133866,0.8593804898505061,1.0
s__Acinetobacter_sp.;,0.01502168410655356,0.9880217838323063,0.985014985014985,0.9961590006133436,1.0
s__Alistipes_finegoldii;,0.02783398904605786,0.9778073511783877,0.975024975024975,0.9961590006133436,1.0
s__Alistipes_indistinctus;,0.6371789091140388,0.5243442815349385,0.5324675324675324,0.917806462914468,1.0
s__Alistipes_inops;,0.40881319324208537,0.682878407241299,0.6853146853146853,0.9576017377874964,1.0
s__Alistipes_obesi;,2.1458218638731568,0.032441223802569065,0.03296703296703297,0.495970695970696,1.0
s__Alistipes_shahii;,0.2977060182399062,0.7660700048182446,0.7642357642357642,0.9638398810491833,1.0
s__Alistipes_sp.;,1.2161960888314995,0.2245712840953599,0.2597402597402597,0.7987352014501335,1.0
s__Anaerostipes_caccae;,-1.462535268160614,0.1443183421213362,0.052947052947052944,0.5510785510785511,1.0
s__Anaerotignum_lactatifermentans;,-1.5158236155651719,0.13029193702126302,0.12287712287712288,0.6603475264892588,1.0
s__Anaerotruncus_sp.;,0.8925720241385819,0.372581032927213,0.3166833166833167,0.8214352697111318,1.0
s__Azospirillum_sp.;,-0.5150220899412775,0.6067997862588292,0.5774225774225774,0.9363235566828382,1.0
s__Bacteroidaceae_bacterium;,0.8350717299646966,0.404136774038914,0.4145854145854146,0.8689607606016275,1.0
s__Bacteroides_caccae;,0.36641573148898365,0.7142334423772101,0.7152847152847153,0.9605201219932098,1.0
s__Bacteroides_cellulosilyticus;,1.5457978166642907,0.1228822467339873,0.11488511488511488,0.6483764169714583,1.0
s__Bacteroides_clarus;,-0.717249360399967,0.4736060900801238,0.4675324675324675,0.899235406949292,1.0
s__Bacteroides_coprocola;,-0.7833534792443342,0.433846831684491,0.4695304695304695,0.899235406949292,1.0
s__Bacteroides_coprophilus;,0.6601480870379314,0.5095089978464717,0.4955044955044955,0.915893370934243,1.0
s__Bacteroides_dorei;,0.24543152712658045,0.8062383346990306,0.7772227772227772,0.9707817388843971,1.0
s__Bacteroides_eggerthii;,0.4264177177629856,0.670014915701607,0.6683316683316683,0.9531608288084972,1.0
s__Bacteroides_faecis;,-0.25373490567493306,0.7998205244101756,0.8051948051948052,0.9757784362930769,1.0
s__Bacteroides_finegoldii;,-0.7402846412199626,0.4595275807486672,0.46353646353646355,0.899235406949292,1.0
s__Bacteroides_fluxus;,-1.110924794924766,0.26721579942957535,0.3156843156843157,0.8214352697111318,1.0
s__Bacteroides_fragilis;,-0.3960273412148873,0.692279478822311,0.6963036963036963,0.9591499409681229,1.0
s__Bacteroides_intestinalis;,1.4290091040421546,0.15372095571414876,0.15684315684315683,0.672043146726691,1.0
s__Bacteroides_massiliensis;,-0.16210467714133628,0.8712988657333213,0.8811188811188811,0.987270896434243,1.0
s__Bacteroides_nordii;,-0.12839819116103468,0.8978933388466539,0.8911088911088911,0.987270896434243,1.0
s__Bacteroides_ovatus;,0.23430686109293805,0.814857252741398,0.8221778221778222,0.9775036861651035,1.0
s__Bacteroides_plebeius;,0.7247039061423154,0.46902421240066083,0.46253746253746253,0.899235406949292,1.0
s__Bacteroides_salyersiae;,0.7372413862550818,0.4613739437539697,0.4805194805194805,0.9036435786435786,1.0
s__Bacteroides_sp.;,-1.209678976773252,0.22706060013882387,0.22877122877122877,0.7739027142012216,1.0
s__Bacteroides_stercoris;,0.2674504084901266,0.789249441576642,0.7932067932067932,0.9710687142875208,1.0
s__Bacteroides_uniformis;,0.8050391167662218,0.4212379111424359,0.43356643356643354,0.882950134813026,1.0
s__Bacteroides_vulgatus;,-0.4662724491007618,0.6412544378000685,0.6453546453546454,0.9500737357880216,1.0
s__Bifidobacterium_bifidum;,-1.205085181397622,0.2288270973183513,0.22077922077922077,0.7645398080180689,1.0
s__Bifidobacterium_longum;,-0.9697044353873021,0.33273393399367723,0.3306693306693307,0.8378156852124535,1.0
s__Blautia_hydrogenotrophica;,-1.5473446798525656,0.12250901059698209,0.11588411588411589,0.6483764169714583,1.0
s__Blautia_sp.;,-1.412921180182437,0.15839564162931166,0.14985014985014986,0.672043146726691,1.0
s__Butyricicoccus_sp.;,0.5002810948031994,0.6171307404556609,0.6163836163836164,0.9493069288987657,1.0
s__Butyricimonas_virosa;,-0.2060468261810693,0.8368509536060683,0.8381618381618382,0.9794233187549383,1.0
s__Butyrivibrio_crossotus;,-0.06906881493617562,0.9449666548148761,0.938061938061938,0.9938465290577967,1.0
s__Christensenella_massiliensis;,-0.0157664723591398,0.9874279415421658,0.988011988011988,0.9961590006133436,1.0
s__Clostridiales_bacterium;,-1.051526221386533,0.293602098328032,0.3066933066933067,0.8142406612994849,1.0
s__Clostridium_paraputrificum;,-0.246054766989574,0.8057561622933912,0.8051948051948052,0.9757784362930769,1.0
s__Clostridium_sp.;,-1.8588824847550065,0.0637204674934242,0.04795204795204795,0.541058941058941,1.0
s__Collinsella_sp.;,-1.4192393354410249,0.15654704970400343,0.16583416583416583,0.6887713513480385,1.0
s__Collinsella_tanakaei;,-0.7565405260231944,0.4497356586730421,0.35764235764235763,0.8495574600837758,1.0
s__Coprobacter_secundus;,0.10771485948350808,0.9142716590744953,0.9070929070929071,0.987270896434243,1.0
s__Coriobacteriaceae_bacterium;,-0.9640236785132331,0.335570887592022,0.33166833166833165,0.8378156852124535,1.0
s__Desulfovibrio_fairfieldensis;,-0.8256607376393728,0.4094501939335482,0.4205794205794206,0.8695590124161553,1.0
s__Desulfovibrio_piger;,-0.6374123361943826,0.5241924066946563,0.5534465534465535,0.9236789941528701,1.0
s__Dielma_fastidiosa;,-0.10887222323316352,0.9133541564441441,0.9110889110889111,0.987270896434243,1.0
s__Dorea_formicigenerans;,1.3644995269894131,0.1731174746057447,0.15384615384615385,0.672043146726691,1.0
s__Enteroscipio_rubneri;,-0.5074914393785115,0.6120678287962232,0.6153846153846154,0.9493069288987657,1.0
s__Eubacteriaceae_bacterium;,-0.023580480134181438,0.9811980801443128,0.984015984015984,0.9961590006133436,1.0
s__Eubacterium_ramulus;,0.6361348470571647,0.5250238572317276,0.5134865134865135,0.9168717880058086,1.0
s__Eubacterium_sp.;,-1.9515343778643943,0.051636397709031716,0.07092907092907093,0.5797060082774369,1.0
s__Faecalitalea_cylindroides;,-1.0988234878972039,0.27245425344673246,0.2807192807192807,0.8013696045505191,1.0
s__Firmicutes_bacterium;,1.2369236274768014,0.2167843212594775,0.25574425574425574,0.797874936123784,1.0
s__Gordonibacter_pamelaeae;,0.7106191579239741,0.4777019580875015,0.4995004995004995,0.9168717880058086,1.0
s__Gordonibacter_urolithinfaciens;,0.11259465117561002,0.9104039853086306,0.9170829170829171,0.9873573606695132,1.0
s__Ihubacter_massiliensis;,1.0240266986600688,0.30639309648332264,0.2887112887112887,0.8013696045505191,1.0
