"index","lambda","se_D_b"
0,0.900336610313242,0.00126923076923077
1,0.706548131615755,0.0230641025641026
2,0.55447069081866,0.0667948717948718
3,0.435126402887606,0.106525641025641
4,0.341469783029216,0.150525641025641
5,0.267971816805927,0.188333333333333
6,0.210293555011647,0.216115384615385
7,0.165029963996043,0.238923076923077
8,0.129508909652638,0.267038461538462
9,0.101633408099254,0.309365384615385
10,0.0797578303266884,0.360525641025641
11,0.0625907525624689,0.41573717948718
12,0.0491187171251987,0.466628205128205
13,0.0385464029948728,0.505019230769231
14,0.0302496740714118,0.529038461538461
15,0.0237387333274225,0.529038461538461
16,0.0186292076622093,0.529038461538461
17,0.0146194564526666,0.529038461538461
18,0.0114727642123491,0.529038461538461
19,0.00900336610313242,0.529038461538461
