"index","lambda","se_nonzero_offdiag"
0,0.900336610313242,0
1,0.706548131615755,48
2,0.55447069081866,166
3,0.435126402887606,292
4,0.341469783029216,388
5,0.267971816805927,468
6,0.210293555011647,504
7,0.165029963996043,538
8,0.129508909652638,562
9,0.101633408099254,606
10,0.0797578303266884,658
11,0.0625907525624689,740
12,0.0491187171251987,820
13,0.0385464029948728,900
14,0.0302496740714118,1002
15,0.0237387333274225,1067
16,0.0186292076622093,1158
17,0.0146194564526666,1223
18,0.0114727642123491,1290
19,0.00900336610313242,1348
