index,lambda_cor,lambda_cov,D_b,path_nnz
0,0.900336610313242,4.66364058612369,0.0,0
1,0.706548131615755,3.6598384480963,0.0,0
2,0.55447069081866,2.87209471201919,0.0,0
3,0.435126402887606,2.25390496105077,0.0,0
4,0.341469783029216,1.76877439040921,0.0,0
5,0.267971816805927,1.38806333817596,0.0030256410256410257,2
6,0.210293555011647,1.08929654411291,0.014064102564102565,10
7,0.165029963996043,0.854836323661999,0.03153846153846154,36
8,0.129508909652638,0.670841328012343,0.08984615384615384,72
9,0.101633408099254,0.526449420681501,0.17083333333333334,168
10,0.0797578303266885,0.413136431765558,0.2696794871794872,276
11,0.0625907525624689,0.324212933943448,0.340974358974359,388
12,0.0491187171251988,0.254429332429021,0.41551282051282057,524
13,0.0385464029948728,0.19966595537354,0.4789615384615385,622
14,0.0302496740714119,0.156689849219136,0.5285641025641026,752
15,0.0237387333274225,0.122963921427584,0.5612564102564103,858
16,0.0186292076622094,0.0964971633338101,0.5783076923076924,956
17,0.0146194564526666,0.075727111036841,0.5693205128205128,1042
18,0.0114727642123491,0.0594276054120731,0.5506153846153846,1116
19,0.0090033661031324,0.0466364058612369,0.5206538461538461,1180
