index,lambda_cor,D_b,path_nnz
0,0.9003366103132431,0.0,0
1,0.7065481316157558,0.0,0
2,0.5544706908186608,0.0,0
3,0.43512640288760657,0.0,0
4,0.3414697830292161,0.0,0
5,0.2679718168059275,0.0030256410256410257,2
6,0.2102935550116469,0.014064102564102565,10
7,0.16502996399604342,0.03153846153846154,36
8,0.12950890965263775,0.08984615384615384,72
9,0.10163340809925409,0.17083333333333334,168
10,0.0797578303266886,0.2696794871794872,276
11,0.062590752562469,0.340974358974359,388
12,0.04911871712519884,0.41551282051282057,524
13,0.038546402994872865,0.4789615384615385,622
14,0.030249674071411898,0.5285641025641026,752
15,0.023738733327422563,0.5612564102564103,858
16,0.01862920766220938,0.5783076923076924,956
17,0.014619456452666654,0.5693205128205128,1042
18,0.011472764212349159,0.5506153846153846,1116
19,0.00900336610313243,0.5206538461538461,1180
