index,lambda,D_b
0,4.66364058612369,0.0
1,3.6598384480963,0.0
2,2.87209471201919,0.0
3,2.25390496105077,0.0
4,1.76877439040921,0.0
5,1.38806333817596,0.0013846153846153847
6,1.08929654411291,0.005858974358974359
7,0.854836323661999,0.009807692307692309
8,0.670841328012343,0.03164102564102564
9,0.526449420681501,0.08893589743589744
10,0.413136431765558,0.16515384615384615
11,0.324212933943448,0.24303846153846154
12,0.254429332429021,0.31135897435897436
13,0.19966595537354,0.3848205128205128
14,0.156689849219136,0.44534615384615384
15,0.122963921427584,0.5021410256410257
16,0.0964971633338101,0.5410128205128206
17,0.075727111036841,0.564871794871795
18,0.0594276054120731,0.5749102564102564
19,0.0466364058612369,0.5546025641025641
