"index","lambda","se_D_b"
0,4.66364058612369,0
1,3.6598384480963,0
2,2.87209471201919,0
3,2.25390496105077,0
4,1.76877439040921,0.00237179487179487
5,1.38806333817596,0.00330769230769231
6,1.08929654411291,0.00361538461538462
7,0.854836323661999,0.0154871794871795
8,0.670841328012343,0.0423589743589744
9,0.526449420681501,0.105923076923077
10,0.413136431765558,0.182641025641026
11,0.324212933943448,0.258307692307692
12,0.254429332429021,0.320551282051282
13,0.19966595537354,0.397346153846154
14,0.156689849219136,0.478538461538462
15,0.122963921427584,0.545897435897436
16,0.0964971633338101,0.583987179487179
17,0.075727111036841,0.59374358974359
18,0.0594276054120731,0.59374358974359
19,0.0466364058612369,0.59374358974359
