"index","lambda","se_nonzero_offdiag"
0,4.66364058612369,0
1,3.6598384480963,0
2,2.87209471201919,0
3,2.25390496105077,0
4,1.76877439040921,0
5,1.38806333817596,8
6,1.08929654411291,8
7,0.854836323661999,16
8,0.670841328012343,34
9,0.526449420681501,94
10,0.413136431765558,170
11,0.324212933943448,280
12,0.254429332429021,400
13,0.19966595537354,496
14,0.156689849219136,616
15,0.122963921427584,762
16,0.0964971633338101,888
17,0.075727111036841,1006
18,0.0594276054120731,1116
19,0.0466364058612369,1170
