index,lambda,py_D_b,py_nonzero_offdiag,se_nonzero_offdiag,se_D_b,abs_diff_nonzero_offdiag,abs_diff_D_b,db_in_range
0,4.66364058612369,0.0,0,0,0.0,0,0.0,1
1,3.6598384480963,0.0,0,0,0.0,0,0.0,1
2,2.87209471201919,0.0,0,0,0.0,0,0.0,1
3,2.25390496105077,0.0,0,0,0.0,0,0.0,1
4,1.76877439040921,0.0,0,0,0.0023717948717948,0,0.0023717948717948,1
5,1.38806333817596,0.0013846153846153847,0,8,0.0033076923076923,8,0.0019230769230769154,1
6,1.08929654411291,0.005858974358974359,8,8,0.0036153846153846,0,0.002243589743589759,1
7,0.854836323661999,0.009807692307692309,14,16,0.0154871794871795,2,0.005679487179487191,1
8,0.670841328012343,0.03164102564102564,30,34,0.0423589743589744,4,0.010717948717948761,1
9,0.526449420681501,0.08893589743589744,92,94,0.105923076923077,2,0.01698717948717955,1
10,0.413136431765558,0.16515384615384615,182,170,0.182641025641026,12,0.017487179487179844,1
11,0.324212933943448,0.24303846153846154,274,280,0.258307692307692,6,0.01526923076923048,1
12,0.254429332429021,0.31135897435897436,386,400,0.320551282051282,14,0.009192307692307666,1
13,0.19966595537354,0.3848205128205128,492,496,0.397346153846154,4,0.012525641025641243,1
14,0.156689849219136,0.44534615384615384,602,616,0.478538461538462,14,0.03319230769230819,1
15,0.122963921427584,0.5021410256410257,694,762,0.545897435897436,68,0.043756410256410305,1
16,0.0964971633338101,0.5410128205128206,826,888,0.583987179487179,62,0.04297435897435842,1
17,0.075727111036841,0.564871794871795,942,1006,0.59374358974359,64,0.02887179487179503,1
18,0.0594276054120731,0.5749102564102564,1012,1116,0.59374358974359,104,0.01883333333333359,1
19,0.0466364058612369,0.5546025641025641,1102,1170,0.59374358974359,68,0.03914102564102584,1
