"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",0.586487460676523,0,-0.00394222097112275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0105532921466179,0,0,0.0098643842343151,0,0,0,0,0,0,0,0,0,0,0.00708244603220132,0,0,0,0,0
"2",0,0.5859781986068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",-0.00394222070295578,0,0.592528606387302,-0.0154802983623767,-0.0345980355986854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0378798494824739,0,0.00538139028274876,0,0,0,0,0,0,0,0.00215387138833724,0.0253518722965503,0,0,0,0.00229774892941863,0
"4",0,0,-0.0154802983359654,0.586386870167471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,-0.0345980355414621,0,0.588013905680602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0.5859781986068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0.5859781986068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0.5859781986068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,0.5859781986068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0.5859781986068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,0.5859781986068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0,0.5859781986068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",0,0,0,0,0,0,0,0,0,0,0,0,0.5859781986068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0.5859781986068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5859781986068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.586584550300148,0,0,0,0,0,0,0,0,-0.0188593885204833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.589282960935423,0,0,0,0,0,0,-0.0252688277096054,0,0,0,0,0,0,0,0,0,-0.0249720048380327,-0.0205912449782786,0,0,0,0,0
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5859781986068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5859781986068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5859781986068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",-0.0105532921430634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.586168198636469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5859781986068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5859781986068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",0.00986438422107029,0,0.0378798496304815,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0252688205093868,0,0,0,0,0,0,0.600879009521162,0,-0.0242795521105307,0,0,0,0,0,0,0,-0.0329785588124615,-0.060993522671098,0,0,0,-0.0173609821540141,0
"25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0188593885204833,0,0,0,0,0,0,0,0,0.586584550300148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",0,0,0.00538139012749785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0242795520641069,0,0.589412898504948,0,0,0,0,0,0,0,0,-0.0325361164544275,0,0,0,-0.00964220870714495,0
"27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5859781986068,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5859781986068,0,0,0,0,0,0,0,0,0,0,0,0
"29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5859781986068,0,0,0,0,0,0,0,0,0,0,0
"30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5859781986068,0,0,0,0,0,0,0,0,0,0
"31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5859781986068,0,0,0,0,0,0,0,0,0
"32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.585980901429516,0,0,0,0,0,0,-0.00125849215003541,0
"33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5859781986068,0,0,0,0,0,0,0
"34",0,0,0.00215387133458054,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0249720032864119,0,0,0,0,0,0,-0.0329785585827627,0,0,0,0,0,0,0,0,0,0.591165061116048,-0.0308979160386136,0,0,0,0,0
"35",0.00708244601359998,0,0.0253518727508911,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0205912456316513,0,0,0,0,0,0,-0.0609935227148426,0,-0.0325361164688655,0,0,0,0,0,0,0,-0.0308979160664681,0.599660498571639,0,0,0,-0.0179230017548452,0
"36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5859781986068,0,0,0,0
"37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5859781986068,0,0,0
"38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5859781986068,0,0
"39",0,0,0.00229774894259378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.017360982183911,0,-0.00964220872021511,0,0,0,0,0,-0.0012584921500557,0,0,-0.0179230017587232,0,0,0,0.587409851431417,0
"40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5859781986068
