"","Kingdom","Phylum","Class","Order","Family","Rank6","Rank7","Genus","Species","Rank5","Rank3","Rank4","Rank2"
"1057116","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4377518","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4446320","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4409730","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae",NA,NA,NA,NA,NA,NA,NA,NA
"2829179","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae",NA,NA,NA,NA,NA,NA,NA,NA
"710275","Bacteria","Proteobacteria","Gammaproteobacteria","HTCC2188","HTCC2089",NA,NA,NA,NA,NA,NA,NA,NA
"4395020","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Bogoriellaceae",NA,NA,NA,NA,NA,NA,NA,NA
"216345","Bacteria","Actinobacteria","Actinobacteria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191975","Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4311620","Bacteria","Firmicutes","Clostridia","Clostridiales","EtOH8",NA,NA,NA,NA,NA,NA,NA,NA
"839282","Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae",NA,NA,NA,NA,NA,NA,NA,NA
"128300","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae",NA,NA,NA,NA,NA,NA,NA,NA
"1065051","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"776622","Bacteria","Firmicutes","Clostridia","Thermoanaerobacterales","Caldicellulosiruptoraceae",NA,NA,NA,NA,NA,NA,NA,NA
"274011","Bacteria","[Thermi]","Deinococci","Deinococcales","Trueperaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4325519","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Geodermatophilaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4469481","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA,NA,NA,NA,NA,NA,NA,NA
"2684585","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Pelobacteraceae",NA,NA,NA,NA,NA,NA,NA,NA
"836693","Bacteria","Firmicutes","Clostridia","SHA-98",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4393962","Bacteria","TM7","TM7-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"512674","Bacteria","Verrucomicrobia","[Spartobacteria]","[Chthoniobacterales]","[Chthoniobacteraceae]",NA,NA,NA,NA,NA,NA,NA,NA
"3232988","Bacteria","Tenericutes","RF3","ML615J-28",NA,NA,NA,NA,NA,NA,NA,NA,NA
"662915","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Aurantimonadaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4432889","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Intrasporangiaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4452489","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae",NA,NA,NA,NA,NA,NA,NA,NA
"1000986","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4476877","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Odoribacteraceae]",NA,NA,NA,NA,NA,NA,NA,NA
"4446053","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"841635","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae",NA,NA,NA,NA,NA,NA,NA,NA
"782042","Archaea","Euryarchaeota","Thermoplasmata","E2","[Methanomassiliicoccaceae]",NA,NA,NA,NA,NA,NA,NA,NA
"1134896","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Brevibacteriaceae",NA,NA,NA,NA,NA,NA,NA,NA
